Review,Review_Bersih,Review_bersih_joined,Aspek_Kategori,ganti,Sentimen,Label_Aspek,Label_Sen,Review_Bersih_NEG
"Museum ini bagus sebagai edukasi untuk tidak melupakan adat, budaya dan sejarah yang telah ada sebelumnya sebagai warisan leluhur",museum bagus sebagai edukasi untuk tidak melupakan adat budaya sejarah yang telah sebelumnya sebagai warisan leluhur,museum bagus sebagai edukasi untuk tidak_melupakan adat budaya sejarah yang telah sebelumnya sebagai warisan leluhur,fasilitas,positif,positif,1,1,museum bagus sebagai edukasi untuk tidak NEG_melupakan NEG_adat budaya sejarah yang telah sebelumnya sebagai warisan leluhur
"menyenangkan sekali berada disini, betah untuk berlama lama .",menyenangkan sekali berada disini betah untuk berlama lama,menyenangkan sekali berada disini betah untuk berlama lama,suasana,positif,positif,3,1,menyenangkan sekali berada disini betah untuk berlama lama
pokoknya museum yang recomended sekali,pokoknya museum yang disarankan sekali,pokoknya museum yang disarankan sekali,serbaneka,positif,positif,4,1,pokoknya museum yang disarankan sekali
lokasinya cukup jauh dari pusat kota,lokasinya cukup jauh dari pusat kota,lokasinya cukup jauh dari pusat kota,lokasi,negatif,negatif,2,0,lokasinya cukup jauh dari pusat kota
museum ini wajib dikunjungi ketika datang ke kota Yogyakarta.,museum wajib dikunjungi ketika datang kota yogyakarta,museum wajib dikunjungi ketika datang kota yogyakarta,serbaneka,positif,positif,4,1,museum wajib dikunjungi ketika datang kota yogyakarta
"tempat nya yang unik, asri, sejuk dan nyaman ",tempat yang unik asri sejuk nyaman,tempat yang unik asri sejuk nyaman,suasana,positif,positif,3,1,tempat yang unik asri sejuk nyaman
kita bisa menambah ilmu tentang sejarah keraton dengan didampingi pemandu yang ramah tentunya.,kita bisa menambah ilmu tentang sejarah keraton dengan didampingi pemandu yang ramah tentunya,kita bisa menambah ilmu tentang sejarah keraton dengan didampingi pemandu yang ramah tentunya,fasilitas,positif,positif,1,1,kita bisa menambah ilmu tentang sejarah keraton dengan didampingi pemandu yang ramah tentunya
Pada sesi akhir kita akan disuguhi minuman khas ullen sentalu yaitu minuman teh awet muda :),pada sesi akhir kita akan disuguhi minuman khas ullen sentalu yaitu minuman kakak perempuan awet muda,pada sesi akhir kita akan disuguhi minuman khas ullen sentalu yaitu minuman kakak perempuan awet muda,fasilitas,positif,netral,1,1,pada sesi akhir kita akan disuguhi minuman khas ullen sentalu yaitu minuman kakak perempuan awet muda
Museum ini memang sedikit unik .,museum memang sedikit unik,museum memang sedikit unik,serbaneka,positif,positif,4,1,museum memang sedikit unik
Kita akan dibawa kembali ke tengah-tengah budaya Jawa yang khas dan menarik.,kita akan dibawa kembali tengah tengah budaya jawa yang khas menarik,kita akan dibawa kembali tengah tengah budaya jawa yang khas menarik,suasana,positif,positif,3,1,kita akan dibawa kembali tengah tengah budaya jawa yang khas menarik
Letaknya memang cukup jauh dari kota yogya yaitu di kawasan Merapi .,letaknya memang cukup jauh dari kota yogya yaitu kawasan merapi,letaknya memang cukup jauh dari kota yogya yaitu kawasan merapi,lokasi,negatif,negatif,2,0,letaknya memang cukup jauh dari kota yogya yaitu kawasan merapi
Tapi setelah menikmati jalan2 atau Merapi tur kita bisa bersantai sambil lebih jauh mengenal budaya Jawa .,tapi setelah menikmati jalan jalan atau merapi kita bisa bersantai sambil lebih jauh mengenal budaya jawa,tapi setelah menikmati jalan jalan atau merapi kita bisa bersantai sambil lebih jauh mengenal budaya jawa,serbaneka,positif,positif,4,1,tapi setelah menikmati jalan jalan atau merapi kita bisa bersantai sambil lebih jauh mengenal budaya jawa
Tempatnya lumayan jauh dari pusat kota Yogyakarta,tempatnya lumayan jauh dari pusat kota yogyakarta,tempatnya lumayan jauh dari pusat kota yogyakarta,lokasi,negatif,negatif,2,0,tempatnya lumayan jauh dari pusat kota yogyakarta
sangat menarik untuk dikunjungi,sangat menarik untuk dikunjungi,sangat menarik untuk dikunjungi,serbaneka,positif,positif,4,1,sangat menarik untuk dikunjungi
Penuh dengan sejarah dari Jawa,penuh dengan sejarah dari jawa,penuh dengan sejarah dari jawa,suasana,positif,netral,3,1,penuh dengan sejarah dari jawa
Ini adalah salah satu museum terbaik di Indonesia.,adalah salah satu museum terbaik indonesia,adalah salah satu museum terbaik indonesia,serbaneka,positif,positif,4,1,adalah salah satu museum terbaik indonesia
Sangat menyenangkan belajar sejarah di sini.,sangat menyenangkan belajar sejarah sini,sangat menyenangkan belajar sejarah sini,serbaneka,positif,positif,4,1,sangat menyenangkan belajar sejarah sini
Saya belajar banyak tentang kesultanan dan keraton Jogjakarta.,saya belajar banyak tentang kesultanan keraton jogjakarta,saya belajar banyak tentang kesultanan keraton jogjakarta,serbaneka,positif,positif,4,1,saya belajar banyak tentang kesultanan keraton jogjakarta
Koleksinya sangat terawat,koleksinya sangat terawat,koleksinya sangat terawat,fasilitas,positif,positif,1,1,koleksinya sangat terawat
tempatnya asri rapi dan bersih.,tempatnya asri rapi bersih,tempatnya asri rapi bersih,suasana,positif,positif,3,1,tempatnya asri rapi bersih
Pemandunya ramah dan kompeten.,pemandunya ramah kompeten,pemandunya ramah kompeten,fasilitas,positif,positif,1,1,pemandunya ramah kompeten
Saya merekomendasikan tempat ini sebagai destinasi wajib saat berkunjung ke Jogjakarta.,saya merekomendasikan tempat sebagai destinasi wajib saat berkunjung jogjakarta,saya merekomendasikan tempat sebagai destinasi wajib saat berkunjung jogjakarta,serbaneka,positif,positif,4,1,saya merekomendasikan tempat sebagai destinasi wajib saat berkunjung jogjakarta
"museum ini kental sekali nuansa adat jawanya, saya sangat menyukai susana yang tenang,sejuk.",museum kental sekali nuansa adat jawanya saya sangat menyukai susana yang tenang sejuk,museum kental sekali nuansa adat jawanya saya sangat menyukai susana yang tenang sejuk,suasana,positif,positif,3,1,museum kental sekali nuansa adat jawanya saya sangat menyukai susana yang tenang sejuk
guide sangat ramah dan menjelaskan sejarah dari setiap sudat museum dengan sangat jelas.,pemandu sangat ramah menjelaskan sejarah dari setiap sudat museum dengan sangat jelas,pemandu sangat ramah menjelaskan sejarah dari setiap sudat museum dengan sangat jelas,fasilitas,positif,positif,1,1,pemandu sangat ramah menjelaskan sejarah dari setiap sudat museum dengan sangat jelas
Tiket lumayan.,tiket lumayan,tiket lumayan,serbaneka,positif,netral,4,1,tiket lumayan
dan ada 2 model guide tour (pk bhs indonesia dan pk bhs inggris).,model pemandu wisata bahasa indonesia pakai bahasa inggris,model pemandu wisata bahasa indonesia pakai bahasa inggris,fasilitas,positif,netral,1,1,model pemandu wisata bahasa indonesia pakai bahasa inggris
"bagus banget, tertatah rapih, bersih.",bagus banget tertatah rapih bersih,bagus banget tertatah rapih bersih,lokasi,positif,positif,2,1,bagus banget tertatah rapih bersih
dapet segelas air jahe gratis n bisa foto.,dapat segelas jahe gratis bisa foto,dapat segelas jahe gratis bisa foto,fasilitas,positif,positif,1,1,dapat segelas jahe gratis bisa foto
kalo laper ada restorannya,kalau lapar restorannya,kalau lapar restorannya,fasilitas,positif,positif,1,1,kalau lapar restorannya
"tiket masuk resto yang cukup mahal dibanding objek wisata lain, tapi sangat bagus, profesional, dan penjelasan yang cukup jelas.",tiket masuk resto yang cukup mahal dibanding objek wisata lain tapi sangat bagus profesional penjelasan yang cukup jelas,tiket masuk resto yang cukup mahal dibanding objek wisata lain tapi sangat bagus profesional penjelasan yang cukup jelas,fasilitas,positif,positif,1,1,tiket masuk resto yang cukup mahal dibanding objek wisata lain tapi sangat bagus profesional penjelasan yang cukup jelas
"Di salam ada berbagai koleksi, lukisan, benda, batik.",salam berbagai koleksi lukisan benda batik,salam berbagai koleksi lukisan benda batik,fasilitas,positif,positif,1,1,salam berbagai koleksi lukisan benda batik
"Sangat puas dengan koleksi lukisan disana, guide nya begitu ramah kalo kesana rasanya ingin kembali lagi",sangat puas dengan koleksi lukisan disana pemandu begitu ramah kalau kesana rasanya ingin kembali lagi,sangat puas dengan koleksi lukisan disana pemandu begitu ramah kalau kesana rasanya ingin kembali lagi,fasilitas,positif,positif,1,1,sangat puas dengan koleksi lukisan disana pemandu begitu ramah kalau kesana rasanya ingin kembali lagi
Tempat ini sudah sangat terkenal di kalangan wisatawan dan terutama penduduk Jogja.,tempat sudah sangat terkenal kalangan wisatawan terutama penduduk jogja,tempat sudah sangat terkenal kalangan wisatawan terutama penduduk jogja,serbaneka,positif,positif,4,1,tempat sudah sangat terkenal kalangan wisatawan terutama penduduk jogja
Karena kita datang sangat pagi (saat itu masih jam 8) jalanan cukup lengang dan kita belum ditahan untuk membayar tarif masuk ke desa tempat museum ini berada.,karena kita datang sangat pagi saat masih jalanan cukup lengang kita belum ditahan untuk membayar tarif masuk desa tempat museum berada,karena kita datang sangat pagi saat masih jalanan cukup lengang kita belum ditahan untuk membayar tarif masuk desa tempat museum berada,serbaneka,positif,positif,4,1,karena kita datang sangat pagi saat masih jalanan cukup lengang kita belum NEG_ditahan untuk membayar tarif masuk desa tempat museum berada
Hanya biaya masuk ke dalam museum yang perlu kita bayar yaitu IDR 30000(termasuk tour guide+minuman jahe khas yang katanya dapat membuat AWET MUDA) ;),hanya biaya masuk dalam museum yang perlu kita bayar yaitu rupiah termasuk wisata pemandu minuman jahe khas yang katanya dapat membuat awet muda,hanya biaya masuk dalam museum yang perlu kita bayar yaitu rupiah termasuk wisata pemandu minuman jahe khas yang katanya dapat membuat awet muda,fasilitas,positif,positif,1,1,hanya biaya masuk dalam museum yang perlu kita bayar yaitu rupiah termasuk wisata pemandu minuman jahe khas yang katanya dapat membuat awet muda
"Sesampainya di museum, udara dan suasananya masih sangat segar.",sesampainya museum udara suasananya masih sangat segar,sesampainya museum udara suasananya masih sangat segar,suasana,positif,positif,3,1,sesampainya museum udara suasananya masih sangat segar
Terlebih museum ini tertutup dengan tanaman dan pepohonan.,terlebih museum tertutup dengan tanaman pepohonan,terlebih museum tertutup dengan tanaman pepohonan,serbaneka,positif,positif,4,1,terlebih museum tertutup dengan tanaman pepohonan
Pantai nya bagus bersih,pantai bagus bersih,pantai bagus bersih,lokasi,positif,positif,2,1,pantai bagus bersih
sayang makanan nya agak mahal,sayang makanan agak mahal,sayang makanan agak mahal,fasilitas,negatif,negatif,1,0,sayang makanan agak mahal
Tempat yang cocok di kunjungi saat berlibur,tempat yang cocok kunjungi saat berlibur,tempat yang cocok kunjungi saat berlibur,lokasi,positif,positif,2,1,tempat yang cocok kunjungi saat berlibur
Tidak perlu banyak ulasan untuk pantai yg sdh sangat terkenal sampai ke mancanegara ini.,tidak perlu banyak ulasan untuk pantai yang sudah sangat terkenal sampai mancanegara,tidak_perlu banyak ulasan untuk pantai yang sudah sangat terkenal sampai mancanegara,serbaneka,positif,positif,4,1,tidak NEG_perlu banyak ulasan untuk pantai yang sudah sangat terkenal sampai mancanegara
Tetap indah.,tetap indah,tetap indah,serbaneka,positif,positif,4,1,tetap indah
tidak ada istilah bosan kesini.,tidak ada istilah bosan kesini,tidak_ada istilah bosan kesini,serbaneka,positif,positif,4,1,tidak NEG_ada NEG_istilah bosan kesini
Sudah lebih bersih dibandingkan kunjungan sebelumnya.,sudah lebih bersih dibandingkan kunjungan sebelumnya,sudah lebih bersih dibandingkan kunjungan sebelumnya,lokasi,positif,positif,2,1,sudah lebih bersih dibandingkan kunjungan sebelumnya
Tujuan favorit di bali.,tujuan favorit bali,tujuan favorit bali,serbaneka,positif,positif,4,1,tujuan favorit bali
Selalu ramai tiap harinya,selalu ramai tiap harinya,selalu ramai tiap harinya,suasana,positif,netral,3,1,selalu ramai tiap harinya
Sampah semakin banyak.,sampah semakin banyak,sampah semakin banyak,lokasi,negatif,negatif,2,0,sampah semakin banyak
pengunjung semakin tidak ada yang peduli dengan kebersihannya.,pengunjung semakin tidak ada yang peduli dengan kebersihannya,pengunjung semakin tidak_ada yang peduli dengan kebersihannya,serbaneka,negatif,negatif,4,0,pengunjung semakin tidak NEG_ada yang peduli dengan kebersihannya
"Saat hari minggu pagi ada pasar dadakan juga, lengkap.",saat hari minggu pagi pasar dadakan juga lengkap,saat hari minggu pagi pasar dadakan juga lengkap,fasilitas,positif,netral,1,1,saat hari minggu pagi pasar dadakan juga lengkap
Indah,indah,indah,serbaneka,positif,positif,4,1,
tp tak sebersih dulu tahun 2006 awal kita kesini,tapi tidak sebersih dahulu tahun awal kita kesini,tapi tidak_sebersih dahulu tahun awal kita kesini,lokasi,negatif,negatif,2,0,tapi tidak NEG_sebersih NEG_dahulu tahun awal kita kesini
tp pemandangan pantai dan lautnya tetap menawan,tapi pemandangan pantai lautnya tetap menawan,tapi pemandangan pantai lautnya tetap menawan,lokasi,positif,positif,2,1,tapi pemandangan pantai lautnya tetap menawan
Hal yang jarang saya temui di pantai kuta Bali.,yang jarang saya temui pantai kuta bali,yang jarang saya temui pantai kuta bali,serbaneka,positif,positif,4,1,yang jarang saya temui pantai kuta bali
Saya bisa menyaksikan secara langsung proses bertelurnya penyu di malam hari.,saya bisa menyaksikan secara langsung proses bertelurnya penyu malam hari,saya bisa menyaksikan secara langsung proses bertelurnya penyu malam hari,fasilitas,positif,netral,1,1,saya bisa menyaksikan secara langsung proses bertelurnya penyu malam hari
Dan besoknya datang lagi ke Kuta Bali untuk ikut pelepasan tukik.,besoknya datang lagi kuta bali untuk ikut pelepasan tukik,besoknya datang lagi kuta bali untuk ikut pelepasan tukik,serbaneka,positif,netral,4,1,besoknya datang lagi kuta bali untuk ikut pelepasan tukik
"Pelepasan tukik ini setiap hari ada, dan akan di mulai pada siang hari.",pelepasan tukik setiap hari akan mulai pada siang hari,pelepasan tukik setiap hari akan mulai pada siang hari,fasilitas,positif,netral,1,1,pelepasan tukik setiap hari akan mulai pada siang hari
pantai fenomenal.,pantai fenomenal,pantai fenomenal,serbaneka,positif,positif,4,1,pantai fenomenal
pantai ini bukan pantai pasir putih .,pantai bukan pantai pasir putih,pantai bukan pantai pasir putih,serbaneka,positif,netral,4,1,pantai bukan NEG_pantai NEG_pasir 
stiap hari ramai pengunjung.,setiap hari ramai pengunjung,setiap hari ramai pengunjung,suasana,positif,netral,3,1,setiap hari ramai pengunjung
lokasi tidak jauh dari bandara.,lokasi tidak jauh dari bandara,lokasi tidak_jauh dari bandara,lokasi,positif,positif,2,1,lokasi tidak NEG_jauh dari bandara
bisa melihat sunset.,bisa melihat matahari tenggelam,bisa melihat matahari tenggelam,serbaneka,positif,netral,4,1,bisa melihat matahari tenggelam
dekat dg pusat perbelanjaan,dekat dengan pusat perbelanjaan,dekat dengan pusat perbelanjaan,lokasi,positif,positif,2,1,dekat dengan pusat perbelanjaan
"Jika jalan jalan ke Bali, rasanya harus dan wajib datang ke Kuta.",jika jalan jalan bali rasanya harus wajib datang kuta,jika jalan jalan bali rasanya harus wajib datang kuta,serbaneka,positif,positif,4,1,jika jalan jalan bali rasanya harus wajib datang kuta
Karena kuta ini ikonik banget buat Bali.,karena kuta ikonik banget buat bali,karena kuta ikonik banget buat bali,serbaneka,positif,positif,4,1,karena kuta ikonik banget buat bali
Garis pantainya panjang ,garis pantainya panjang,garis pantainya panjang,lokasi,positif,netral,2,1,garis pantainya panjang
dan ramai dengan turis lokal dan mancanegara.,ramai dengan turis lokal mancanegara,ramai dengan turis lokal mancanegara,suasana,positif,netral,3,1,ramai dengan turis lokal mancanegara
Cocok untuk menikmati sunset yang indah,cocok untuk menikmati matahari tenggelam yang indah,cocok untuk menikmati matahari tenggelam yang indah,suasana,positif,positif,3,1,cocok untuk menikmati matahari tenggelam yang indah
Menikmati sunset di tempat ini sangat cocok bersama pasangan.,menikmati matahari tenggelam tempat sangat cocok bersama pasangan,menikmati matahari tenggelam tempat sangat cocok bersama pasangan,suasana,positif,positif,3,1,menikmati matahari tenggelam tempat sangat cocok bersama pasangan
Pantai yang panjang dan ombak sore yang landai.,pantai yang panjang ombak sore yang landai,pantai yang panjang ombak sore yang landai,lokasi,positif,netral,2,1,pantai yang panjang ombak sore yang landai
Banyak turis mancanegara dan wisatawan lokal.,banyak turis mancanegara wisatawan lokal,banyak turis mancanegara wisatawan lokal,serbaneka,positif,netral,4,1,banyak turis mancanegara wisatawan lokal
Mudah diakses serta nyaman untuk bersantai.,mudah diakses serta nyaman untuk bersantai,mudah diakses serta nyaman untuk bersantai,suasana,positif,positif,3,1,mudah diakses serta nyaman untuk bersantai
Pokoknya bagus bgt dech.,pokoknya bagus banget deh,pokoknya bagus banget deh,serbaneka,positif,positif,4,1,pokoknya bagus banget deh
Tiap hari menjelang sore gak ada bosennya.,tiap hari menjelang sore tidak ada bosennya,tiap hari menjelang sore tidak_ada bosennya,serbaneka,positif,positif,4,1,tiap hari menjelang sore tidak NEG_ada 
Berjejer makanan yg siap mengisi perut anda.,berjejer makanan yang siap mengisi perut anda,berjejer makanan yang siap mengisi perut anda,fasilitas,positif,netral,1,1,berjejer makanan yang siap mengisi perut anda
salah satu pantai di bali yang wajib dikunjungi.,salah satu pantai bali yang wajib dikunjungi,salah satu pantai bali yang wajib dikunjungi,serbaneka,positif,positif,4,1,salah satu pantai bali yang wajib dikunjungi
pantai bersih,pantai bersih,pantai bersih,lokasi,positif,positif,2,1,pantai bersih
pemandangan bagus.,pemandangan bagus,pemandangan bagus,suasana,positif,positif,3,1,pemandangan bagus
banyak penjual makanan dan souvenir disekitar pantai.,banyak penjual makanan souvenir disekitar pantai,banyak penjual makanan souvenir disekitar pantai,fasilitas,positif,netral,1,1,banyak penjual makanan souvenir disekitar pantai
Pantai ini memang cocok untuk menikmati pemandangan matahari terbenam,pantai memang cocok untuk menikmati pemandangan matahari terbenam,pantai memang cocok untuk menikmati pemandangan matahari terbenam,suasana,positif,positif,3,1,pantai memang cocok untuk menikmati pemandangan matahari terbenam
lokasi yang mudah dijangkau,lokasi yang mudah dijangkau,lokasi yang mudah dijangkau,lokasi,positif,positif,2,1,lokasi yang mudah dijangkau
ramai membuat sampah berserakan,ramai membuat sampah berserakan,ramai membuat sampah berserakan,lokasi,negatif,negatif,2,0,ramai membuat sampah berserakan
menurut saya pantai kuta adalah pantai yg paling bnyk pengunjung nya krn berada di kota,menurut saya pantai kuta adalah pantai yang paling banyak pengunjung karena berada kota,menurut saya pantai kuta adalah pantai yang paling banyak pengunjung karena berada kota,serbaneka,positif,netral,4,1,menurut saya pantai kuta adalah pantai yang paling banyak pengunjung karena berada kota
kombinasi yg bagus bl anda menginginkan pemandangan sunset dan keramaian.,kombinasi yang bagus bila anda menginginkan pemandangan matahari tenggelam keramaian,kombinasi yang bagus bila anda menginginkan pemandangan matahari tenggelam keramaian,suasana,positif,positif,3,1,kombinasi yang bagus bila anda menginginkan pemandangan matahari tenggelam keramaian
setelah selesai berburu sunset anda bs melihat gemerlap nya daerah kuta pd malam hari.,setelah selesai berburu matahari tenggelam anda bisa melihat gemerlap daerah kuta pada malam hari,setelah selesai berburu matahari tenggelam anda bisa melihat gemerlap daerah kuta pada malam hari,suasana,positif,positif,3,1,setelah selesai berburu matahari tenggelam anda bisa melihat gemerlap daerah kuta pada malam hari
Semua org yg ke bali pasti tujuan kesini,semua orang yang bali pasti tujuan kesini,semua orang yang bali pasti tujuan kesini,serbaneka,negatif,negatif,4,0,semua orang yang bali pasti tujuan kesini
ga sesuai harapan pantai nya kotor banyak sampah,tidak sesuai harapan pantai kotor banyak sampah,tidak_sesuai harapan pantai kotor banyak sampah,lokasi,negatif,negatif,2,0,tidak NEG_sesuai NEG_harapan pantai kotor banyak sampah
disini tempat terbaik buat sunset,disini tempat terbaik buat matahari tenggelam,disini tempat terbaik buat matahari tenggelam,suasana,positif,positif,3,1,disini tempat terbaik buat matahari tenggelam
"waktu ke kuta, kondisi air pantai berwarna kehitaman.",waktu kuta kondisi pantai berwarna kehitaman,waktu kuta kondisi pantai berwarna kehitaman,lokasi,negatif,negatif,2,0,waktu kuta kondisi pantai berwarna kehitaman
padahal pantainya sangat luas dan indah kalau dijaga kebersihannya.,padahal pantainya sangat luas indah kalau dijaga kebersihannya,padahal pantainya sangat luas indah kalau dijaga kebersihannya,lokasi,positif,netral,2,1,padahal pantainya sangat luas indah kalau dijaga kebersihannya
"pantai kuta sekarang sudah berkurang peminatnya, karna memang sudah terlalu mainstream.",pantai kuta sekarang sudah berkurang peminatnya karena memang sudah terlalu mainstream,pantai kuta sekarang sudah berkurang peminatnya karena memang sudah terlalu mainstream,serbaneka,positif,netral,4,1,pantai kuta sekarang sudah berkurang peminatnya karena memang sudah terlalu mainstream
pantainya juga biasa aja,pantainya juga biasa saja,pantainya juga biasa saja,lokasi,negatif,negatif,2,1,pantainya juga biasa saja
terlalu banyak penjual yang nawarain bikin tatoo,terlalu banyak penjual yang nawarain membuat tatoo,terlalu banyak penjual yang nawarain membuat tatoo,fasilitas,negatif,negatif,1,0,terlalu banyak penjual yang nawarain membuat tatoo
Pantai yang cantik dan pasir yang memutih,pantai yang cantik pasir yang memutih,pantai yang cantik pasir yang memutih,lokasi,positif,positif,2,1,pantai yang cantik pasir yang memutih
penuh dengan pengunjung.,penuh dengan pengunjung,penuh dengan pengunjung,suasana,positif,netral,3,1,penuh dengan pengunjung
Kebanyakannya warga asing yang bersantai sambil menikmati minuman sejuk yang dijual peniaga warga tempatan.,kebanyakannya warga asing yang bersantai sambil menikmati minuman sejuk yang dijual peniaga warga tempatan,kebanyakannya warga asing yang bersantai sambil menikmati minuman sejuk yang dijual peniaga warga tempatan,serbaneka,positif,netral,4,1,kebanyakannya warga asing yang bersantai sambil menikmati minuman sejuk yang dijual peniaga warga tempatan
"Terdapat banyak kedai jualan makanan, pakaian dan barang hiasan di sekitar Pantai Kuta ini.",terdapat banyak kedai jualan makanan pakaian barang hiasan sekitar pantai kuta,terdapat banyak kedai jualan makanan pakaian barang hiasan sekitar pantai kuta,fasilitas,positif,netral,1,1,terdapat banyak kedai jualan makanan pakaian barang hiasan sekitar pantai kuta
Jalan dipantai kuta berasa kaya di patong beach.,jalan dipantai kuta berasa kaya patong beach,jalan dipantai kuta berasa kaya patong beach,serbaneka,positif,netral,4,1,jalan dipantai kuta berasa kaya patong beach
ramai banyak yang jualan.,ramai banyak yang jualan,ramai banyak yang jualan,suasana,positif,netral,3,1,ramai banyak yang jualan
Ada mall,mall,mall,lokasi,positif,netral,2,1,
crowded ya kl naik mbil macet.,ramai kalau naik mobil macet,ramai kalau naik mobil macet,suasana,negatif,negatif,3,0,ramai kalau naik mobil macet
Pantai nya bersih.,pantai bersih,pantai bersih,lokasi,positif,positif,2,1,pantai bersih
Banyak turis yang berjemur di pinggir pantai.,banyak turis yang berjemur pinggir pantai,banyak turis yang berjemur pinggir pantai,serbaneka,positif,netral,4,1,banyak turis yang berjemur pinggir pantai
Pasirnya putih.,pasirnya putih,pasirnya putih,lokasi,positif,netral,2,1,pasirnya putih
"Di sekitar pantai banyak bar, restaurant dan hotel yang bagus.",sekitar pantai banyak restaurant hotel yang bagus,sekitar pantai banyak restaurant hotel yang bagus,lokasi,positif,positif,2,1,sekitar pantai banyak restaurant hotel yang bagus
Ceritanya saya dan istri menghabiskan malam tahun baru di pantai Kuta ,ceritanya saya istri menghabiskan malam tahun baru pantai kuta,ceritanya saya istri menghabiskan malam tahun baru pantai kuta,serbaneka,positif,netral,4,1,ceritanya saya istri menghabiskan malam tahun baru pantai kuta
sesampainya di sana suasana sudah ramai pengunjung yg ingin menikmati malam tahun baru ,sesampainya sana suasana sudah ramai pengunjung yang ingin menikmati malam tahun baru,sesampainya sana suasana sudah ramai pengunjung yang ingin menikmati malam tahun baru,suasana,positif,netral,3,1,sesampainya sana suasana sudah ramai pengunjung yang ingin menikmati malam tahun baru
Disana sampai2 jalan pun susah karena desak2kan,disana sampai sampai jalan susah karena desakkan,disana sampai sampai jalan susah karena desakkan,suasana,negatif,negatif,3,0,disana sampai sampai jalan susah karena desakkan
semua terbayarkan sama keindahan pantai dan pesta kembang api disana,semua terbayarkan sama keindahan pantai pesta kembang disana,semua terbayarkan sama keindahan pantai pesta kembang disana,serbaneka,positif,positif,4,1,semua terbayarkan sama keindahan pantai pesta kembang disana
"Hari pertama kepantai kuta sore"" dan itu pantainya kotor banget.",hari pertama kepantai kuta sore pantainya kotor banget,hari pertama kepantai kuta sore pantainya kotor banget,lokasi,negatif,negatif,2,0,hari pertama kepantai kuta sore pantainya kotor banget
"Tapi pas hari kedua ke pantai kuta lagi pagi"" banget sekitaran jam 6 pantainnya udah bersih dan jadinya bagus banget",tapi hari kedua pantai kuta lagi pagi banget sekitaran pantainnya sudah bersih jadinya bagus banget,tapi hari kedua pantai kuta lagi pagi banget sekitaran pantainnya sudah bersih jadinya bagus banget,lokasi,positif,positif,2,1,tapi hari kedua pantai kuta lagi pagi banget sekitaran pantainnya sudah bersih jadinya bagus banget
tempat terbaik untuk melihat matahari terbenam,tempat terbaik untuk melihat matahari terbenam,tempat terbaik untuk melihat matahari terbenam,suasana,positif,positif,3,1,tempat terbaik untuk melihat matahari terbenam
fasilitas diluar pantai jg sangat lengkap,fasilitas diluar pantai juga sangat lengkap,fasilitas diluar pantai juga sangat lengkap,fasilitas,positif,positif,1,1,fasilitas diluar pantai juga sangat lengkap
sayang tempatnya agak kotor,sayang tempatnya agak kotor,sayang tempatnya agak kotor,lokasi,negatif,negatif,2,0,sayang tempatnya agak kotor
Suka sekali dipantai kuta.,suka sekali dipantai kuta,suka sekali dipantai kuta,serbaneka,positif,positif,4,1,suka sekali dipantai kuta
Tak ada yg bisa kalah kan indahnya.,tidak ada yang bisa kalah indahnya,tidak_ada yang bisa kalah indahnya,serbaneka,positif,positif,4,1,tidak NEG_ada yang bisa kalah indahnya
"Akses yg dekat kota, mudah dijangkau, dan tentunya ramah di kantong",akses yang dekat kota mudah dijangkau tentunya ramah kantong,akses yang dekat kota mudah dijangkau tentunya ramah kantong,lokasi,positif,positif,2,1,akses yang dekat kota mudah dijangkau tentunya ramah kantong
"waktu sya kesana sih pantai tidak terlalu ramai, cukup nyaman lah.",waktu saya kesana pantai tidak terlalu ramai cukup nyaman,waktu saya kesana pantai tidak_terlalu ramai cukup nyaman,suasana,positif,positif,3,1,waktu saya kesana pantai tidak NEG_terlalu NEG_ramai NEG_terlalu cukup nyaman
sayang kotor bgt yaaaa.,sayang kotor banget,sayang kotor banget,lokasi,negatif,negatif,2,0,sayang kotor banget
Pantai kuta dengan alasan apapun tetap menjadi primadona turis lokal dan mancanegara jika berkunjung ke bali.,pantai kuta dengan alasan apapun tetap menjadi primadona turis lokal mancanegara jika berkunjung bali,pantai kuta dengan alasan apapun tetap menjadi primadona turis lokal mancanegara jika berkunjung bali,serbaneka,positif,positif,4,1,pantai kuta dengan alasan apapun tetap menjadi primadona turis lokal mancanegara jika berkunjung bali
Waktu yang sangat telat di sore hari melihat dan menikmati matahari tenggelam.,waktu yang sangat terlambat sore hari melihat menikmati matahari tenggelam,waktu yang sangat terlambat sore hari melihat menikmati matahari tenggelam,suasana,positif,netral,3,1,waktu yang sangat terlambat sore hari melihat menikmati matahari tenggelam
Tetap ramai dikunjungi di bulan apapun tiap tahunnya,tetap ramai dikunjungi bulan apapun tiap tahunnya,tetap ramai dikunjungi bulan apapun tiap tahunnya,suasana,positif,netral,3,1,tetap ramai dikunjungi bulan apapun tiap tahunnya
Pantainya bagus Indah bersih Bersama keluarga dan anak2 ,pantainya bagus indah bersih bersama keluarga anak anak,pantainya bagus indah bersih bersama keluarga anak anak,lokasi,positif,positif,2,1,pantainya bagus indah bersih bersama keluarga anak anak
Bermain di pantai Sambil melihat indahnya sunset,bermain pantai sambil melihat indahnya matahari tenggelam,bermain pantai sambil melihat indahnya matahari tenggelam,suasana,positif,positif,3,1,bermain pantai sambil melihat indahnya matahari tenggelam
